Age,Income,LoanAmount,CreditScore,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage
-0.513689176767664,2.3936020009038934,1.195779632128534,-0.49799201013079086,-0.5155687771520274,-0.5155498322957416,-0.5155160021952311,-0.5155160021952311,-0.5155498322957416
-0.4820020110195292,0.7679751351807852,2.604805916428782,-0.472347282153657,-0.48369766931288755,-0.48366490776506504,-0.48366490776506504,-0.48368972711947605,-0.483714546473887
-0.520424005625732,1.3260785614868382,2.3129335015871617,-0.5115383619898798,-0.521426437867021,-0.5213893595022197,-0.5214332392238782,-0.5213893595022197,-0.5214112993630489
-0.5295385712455737,1.4312722167105567,2.241195198030399,-0.4855331272811531,-0.5315048904505661,-0.5315191256856039,-0.5313953410331019,-0.5314572333593529,-0.5315191256856039
-0.49568795646365915,2.561740722293382,0.866553540048839,-0.4097132480704813,-0.5045810122515538,-0.5045405006088555,-0.5046905437299605,-0.5043904574877505,-0.5046905437299605
-0.5366869752168028,1.86879692022654,1.8727939357717915,-0.5181674698571368,-0.5373504797973145,-0.5373531444743447,-0.5373531444743447,-0.5373531444743447,-0.5373264977040431
-0.5178993777327842,1.2788695583564191,2.3431419510267286,-0.5115787600628707,-0.518511071268921,-0.5184974924483514,-0.5185136577109343,-0.5185136577109343,-0.5184974924483514
-0.5314852741918512,1.615354230923184,2.1016308420379137,-0.5234396651396551,-0.5324265257603366,-0.5323829947808331,-0.5323999329051534,-0.5324168710294739,-0.5324338091537943
-0.4948071312867491,0.8916634504092233,2.551587198930874,-0.46870583347582695,-0.49598845424709165,-0.4959620559686483,-0.49589606027253974,-0.495929058120594,-0.4959620559686483
-0.5123478342527578,1.1810651098547653,2.402240059288538,-0.5067347617567707,-0.5128539037662028,-0.5128581135705748,-0.5128198426217385,-0.5128453565876293,-0.5128453565876293
-0.5038135011787819,1.058114479846445,2.4702072707919163,-0.4988105152055472,-0.5051651553552794,-0.5051066458583043,-0.5051066458583043,-0.5051702431376252,-0.5051490440445182
-0.4020903355745585,0.010655485982718529,2.8048853882408262,-0.39667427433895036,-0.4033802735392646,-0.40332992705453924,-0.4033489976926928,-0.4033489976926928,-0.4033680683308463
-0.5099471977871375,1.1465273990396758,2.422023095995793,-0.5028624358272354,-0.5111573323804905,-0.5111637730731813,-0.5111399186558079,-0.5111160642384345,-0.5111637730731813
-0.5036564963193861,1.0418052358229657,2.4787033354085626,-0.493573264256613,-0.5046745774921758,-0.5046322929706222,-0.504657313397577,-0.504657313397577,-0.504657313397577
-0.5347406075258536,2.001538797170794,1.7325584068582982,-0.5218297050498854,-0.5355174102360946,-0.5355219026832496,-0.5355023703043147,-0.5354828379253799,-0.5355023703043147
-0.4207674592830769,0.1564186296024453,2.782387257336806,-0.41283039030525176,-0.4210434320837427,-0.42104115131679504,-0.4210259462038107,-0.42104115131679504,-0.42105635642977934
-0.4495159470685783,0.4180800844648663,2.7231474399840696,-0.44151189284958176,-0.450047155593885,-0.4500506646781981,-0.4500339547528975,-0.45001724482759686,-0.4500506646781981
-0.4828301676366776,0.7731504336416665,2.6027119074069707,-0.47481396376131085,-0.4836525323595664,-0.4836599410507636,-0.4836154889035804,-0.4836451236683692,-0.4836451236683692
-0.5275842429956006,2.2359736851831116,1.4389415786090405,-0.5026668375279919,-0.528934396021981,-0.528948690231115,-0.5289162033921742,-0.528948690231115,-0.5289162033921742
-0.5357034369434148,2.0904304660970396,1.6279555521468576,-0.4682763095348793,-0.5429301214001625,-0.5428690375913603,-0.5429865064544414,-0.5427515687282792,-0.5428690375913603
